  Language_ISO639;eu
 MegaByte2; MegaByte
 MegaByte3; MegaByte
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiBs-ko
 millisecond1; segundumilaen
 millisecond2; segundumilaen
 millisecond3; segundumilaen
 minute1; minutu
 minute2; minutu
 minute3; minutu
 month1; hilabete
 month2; hilabete
 month3; hilabete
 object1;
 object2;
 object3;
 pixel1; pixel
 pixel2; pixel
 pixel3; pixel
 second1; segundu
 second2; segundu
 second3; segundu
 slice per frame1;
 slice per frame2;
 slice per frame3;
 text stream1; idazki jarioa
 text stream2; idazki jarioa
 text stream3; idazki jarioa
 video frames1; bideo framea
 video frames2; bideo framea
 video frames3; bideo framea
 video stream1; bideo jarioa
 video stream2; bideo jarioa
 video stream3; bideo jarioa
 warppoint0;Zakartze-punturik ez
 warppoint1; zakartzepuntua
 warppoint2; zakartzepuntu
 warppoint3; zakartzepuntu
 week1; aste
 week2; aste
 week3; aste
 year1; urte
 year2; urte
 year3; urte
, ;, 
: ;: 
3D;
3DType;
5.1.2ch;
5.1.4ch;
5.1ch;
608_Mode;
7.1.2ch;
7.1ch;
About;Honi buruz
About_Hint;Nola jarri harremanetan nirekin eta azken bertsioa aurkitu
Accompaniment;Laguntza
Active_DisplayAspectRatio;
Active_Height;
Active_Width;
ActiveFormatDescription;Eragin Heuskarri Azalpena
ActiveFormatDescription_MuxingMode;Eragin Heuskarri Azalpena, Nahasketa modua
Actor;Antzezlea
Actor_Character;Pertsonaia
Add creation date to text output;
Add version to text output;
Added_Date;Gehitze eguna
Address;Helbidea
AdID;
ADM: Show ChannelFormats;
ADM: Show TrackUIDs;
AdmProfile;
Advanced;Aurreratua
Advanced mode;Modu aurreratua
Advanced mode -->;
Album;Bilduma
Album_ReplayGain_Gain;Bilduma berrirakurketa irabazia
Album_ReplayGain_Peak;Bilduma berrirakurketa irabazi gailurra
Alignment;Lerrokapena
Alignment_Aligned;Lerrokatu tarteetan
Alignment_Split;Banandu tarteetan
All;Denak
AlternateGroup;
Archival_Location;Agiritegi helbidea
Arranger;Konpontzailea
ArtDirector;Arte-Zuzendaria
AspectRatio;Ikuspegi maila
AssistantDirector;Laguntzaile-Zuzendaria
AssociatedVideo_FrameRate;
at;
At least one file;(Agiri bat gutxienez ireki behar duzu)
Attachments;
Audio;Audioa
Audio stream(s);Audio jarioak
Audio_Codec_List;Audio kodekak
Audio_Format_List;
Audio_Format_WithHint_List;
Audio_Language_List;
Audio_No;Audiorik ez
Audio1;Lehen audioa jarioa
Audio2;Bigarren audioa jarioa
Audio3;
AudioComments;
AudioCount;Audio jario zenbatekoa
AudioDescription;
AudioDescriptionPresent;
AudioDescriptionType;
AudioLoudnessStandard;
AudioRenderingIndication;
AudioSceneInfoID;
AudioTrackLayout;
Author;Egilea
Back4ToBack2;
Balance_FrontBackListener;
Balance_FrontBackOverheadFloor;
BarCode;BarraKodea
Basic;Ohinarrizkoa
Basic_Note;Oharra: Agiri honi buruzko argibide gehiagorako, ikuspegi ezberdin bat hautatu behar duzu (Orria, Zuhaitza...)
BedChannelConfiguration;
BedChannelCount;
BinauralRenderMode;
BitDepth;Bit sakonera
BitDepth_Detected;
BitDepth_Stored;
BitRate;Bit neurria
BitRate_Encoded;Kodeaketa bit neurria
BitRate_Maximum;Gehinezko bit neurria
BitRate_Minimum;Gutxienezko bit neurria
BitRate_Mode;Bit neurri modua
BitRate_Mode_CBR;Aldagaitza
BitRate_Mode_VBR;Aldakorra
BitRate_Nominal;Bit neurri izendatua
Bits-(Pixel*Frame);Bit/(Pixel*Frame)
BufferSize;Buffer neurria
Cancel;Ezeztatu
CaptionServiceName;
CatalogNumber;
Channel(s);Bide
Channel(s)_Original;
ChannelCoded;
ChannelConfiguration;
ChannelFormat;
ChannelLayout;
ChannelLayout_Original;
ChannelMode;
ChannelPositions;Bide kokapenak
ChannelPositions_Original;
Chapter(s);Atal
Chapters;Atalak
Chapters stream(s);Atal jarioa(k)
Chapters_Codec_List;Atal kodekak
Chapters_No;Atalik ez
Chapters_Pos_Begin;
Chapters_Pos_End;
ChaptersCount;Atal jario zenbatekoa
CharacterSet;
CheckNewVersion;Egiaztatu bertsio berririk dagoen
Choose custom;Hautatu egilea
Choose custom sheet;Hautatu gogoko duzun egile orria
Choose custom text;Hautatu gogoko duzun egile idazkia
Choose export format;Hautatu gogoko duzun esportazio heuskarria
Choose file(s);Hautatu irekitzeko agiriak
Choose filename;Hautatu gogoko duzun agirizena
Choose language;Hautatu gogoko duzun hizkuntza
Choreographer;Dantza-musikaria
Chroma;Margoa
ChromaSubsampling;Margo azpilaginketa
Classifier;
ClearList;
Close;Itxi
Close all before open;Itxi dena ireki aurretik
ClosedCaptionsLanguage;
ClosedCaptionsPresent;
ClosedCaptionsType;
Codec;Kodeka
Codec_Description;Kodek azalpena
Codec_Info;Kodekaren xehetasunak
Codec_Profile;Kodek profila
Codec_Settings;Kodek ezarpenak
Codec_Settings_BVOP;Kodek ezarpenak, BVOP
Codec_Settings_CABAC;Kodek ezarpenak, CABAC
Codec_Settings_Endianness;Kodek ezarpenak, Endianness
Codec_Settings_Firm;Kodek ezarpenak, Firm
Codec_Settings_Floor;Kodek ezarpenak, Floor
Codec_Settings_GMC;Kodek ezarpenak, GMC
Codec_Settings_ITU;Kodek ezarpenak, ITU
Codec_Settings_Law;Kodek ezarpenak, Law
Codec_Settings_Matrix;Kodek ezarpenak, Matrix
Codec_Settings_PacketBitStream;Kodek ezarpenak, Pakete bitjarioa
Codec_Settings_QPel;Kodek ezarpenak, QPel
Codec_Settings_Sign;Kodek ezarpenak, Sign
Codec_Url;Kodekaren weblotura
CodecConfigurationBox;
CodecID;Kodek ID-a
CodecID_Description;Kodekaren azalpena:
CoDirector;
Collection;Bilduma
Colorimetry;Margoneurketa
ColorSpace;Margo tartea
ColorTheme;
ColorTheme_Dark;
ColorTheme_Light;
ColorTheme_System;
colour_primaries;Lehen margoak
colour_range;
Comment;Aipamena
CommissionedBy;Eskatzailea
Compilation;Bilketa
ComplementaryObject;
CompleteName;Izen osoa
CompletionDate;
ComplexityIndex;
Composer;Osatzailea
Compression_Mode;Konpresio modua
Compression_Mode_Lossless;Galeragabe
Compression_Mode_Lossy;Galerakin
Compression_Ratio;Konpresio maila
Conductor;Gidaria
ConformanceCheck;
ConformanceErrors;
ConformanceInfos;
ConformanceWarnings;
ContactEmail;
ContactTelephoneNumber;
Container and general information;Edukiontzia eta argibide orokorrak
Content;
ContentType;Eduki-Mota
CoProducer;Ekoizkidea
Copyright;Copyrighta
CopyrightYear;
CostumeDesigner;Diseinatzailea
Count;Zenbatekoa
Country;Herrialdea
Cover;Azala
Cover_Datas;Azal datuak
Cover_Description;Azal azalpena
Cover_Mime;Azal MIME
Cover_Type;Azal mota
Cropped;Mozketa neurriak
Custom;Egilea
CustomDownmixTargets;
Customize;Norbereratu
DarkMode;
Date;Eguna
Debug;Garbiketa
Decimal point;Hamarren puntua
Default;
Default translation;
Default_Setting;
DefaultTargetDeviceConfig;
Delay;Atzerapena
Delay_Source;Atzerapena, jatorria
Delay_Source_Container;Edukiontzia
Delay_Source_Stream;Raw jarioa
Delete;Ezabatu
Description;Azalpena
Details;
dialnorm;
DialogueCorrected;
DialogueEnhancement;
DialogueNormalization;
Digitized_Date;Digitalizatze eguna
Dimensions;Neurriak
Director;Zuzendaria
DirectorOfPhotography;Argazki zuzendaria
Disabled;
DisplayAspectRatio;Erakuspen ikuspegi maila
DisplayAspectRatio_CleanAperture;
DisplayAspectRatio_Original;Jatorrizko ikuspegi maila
DisplayCaptions;
DisplayCaptions_Command;
DisplayCaptions_Content;
DisplayCaptions_Stream;
DistributedBy;Banatzailea
Distributor;
Dolby_Atmos_Metadata;
DolbyAtmos;
Donate;Eman dirulaguntza bat
DotsPerInch;Puntu hatzbeteko
Downmix;
Downmix_5.1.x;
Downmix_5to2;
DrcSets_Count;
DrcSets_Effects;
Duration;Iraupena
Duration_End;Amaiera denbora
Duration_End_Command;
Duration_Source;
Duration_Start;Hasiera denbora
Duration_Start_Command;
Duration_Start2End;
DynamicObject;
DynamicRangeControl;
Eac3DrcProfile;
Edit;Editatu
EditedBy;Editatzailea
EditorialClassification;
ElementaryStream;
ElementCount;
EMail;Post@
Enable FFmpeg plugin;
Encoded_Application;Idazketa aplikazioa
Encoded_Date;Kodeaketa eguna
Encoded_Library;Idazketa liburutegia
Encoded_Library_Name;
Encoded_Library_Settings;Kodeaketa ezarpenak
Encoded_Library_Version;
Encoded_Original;Jatorrizko sostengua
EncodedBy;Kodeatzailea
EPG_Positions;EPG kokapenak (barnean)
EpisodeTitleNumber;
Error_File;Akatsa agiria irakurtzerakoan
Error_File_Write;
Events_MinDuration;
Events_PaintOn;
Events_PopOn;
Events_RollUp;
Events_Total;
ExecutiveProducer;Ekintza ekoizlea
Exit;Irten
Exit_Hint;Utzi programa
Export;Esportatu
Export_Hint;Esportatu norbere heuskarri batean
Extensions;Arrunt erabilitako hedapenak
External_Media_NotMounted;
Family;Sendia
Fax;Faxa
File;Agiria
File size;Agiri neurria
File_Append;Gehitu dagoen agiriari (Kontuz : zaindu parametroak berdinak izatea)
File_Created_Date;Agiriaren sortze eguna
File_Created_Date_Local;Agiriaren sortze eguna (tokikoa)
File_Hint;Hautatu aztertzeko multimedia agiri bat
File_Modified_Date;Agiriaren azken aldaketa eguna
File_Modified_Date_Local;Agiriaren azken aldaketa eguna (tokikoa)
FileExtension;Agiri hedapena
FileName;Agiri izena
FileNameExtension;
FileSize;Agiri neurria
Fill with a Dummy movie;
Fill with a realistic movie;
FirstDisplay_Delay_Frames;
FirstDisplay_Type;
FirstFrameOfAction;
FlatPanelTv;
FlowID;
Folder;Agiritegia
Folder (R);Agiritegia (R)
Folder (R)_Hint;Hautatu aztertzeko agiritegi bat (agiritegi guztiak jarraian)
Folder (Recursively);Agiritegia (Jarrian)
Folder_Hint;Hautatu aztertzeko agiritegi bat
FolderName;Agiritegi izena
Forced;
Format;Heuskarria
Format_AdditionalFeatures;
Format_Commercial;Merkatal izena
Format_Commercial_IfAny;Merkatal izena
Format_Compression;
Format_Description;Heuskarriaren azalpena
Format_Info;Heuskarriaren xehatasunak
Format_Level;
Format_Profile;Heuskarriaren profila
Format_Settings;Heuskarriaren ezarpenak
Format_Settings_BVOP;Heuskarri ezarpenak, BVOP
Format_Settings_CABAC;Heuskarri ezarpenak, CABAC
Format_Settings_Emphasis;Emfasia
Format_Settings_Endianness;Heuskarri ezarpenak, Endianness
Format_Settings_Firm;Heuskarri ezarpenak, Firm
Format_Settings_Floor;Heuskarri ezarpenak, Floor
Format_Settings_FrameMode;Frame modua
Format_Settings_GMC;Heuskarri ezarpenak, GMC
Format_Settings_GOP;Heuskarri ezarpenak, GOP
Format_Settings_ITU;Heuskarri ezarpenak, ITU
Format_Settings_Law;Heuskarri ezarpenak, Law
Format_Settings_Matrix;Heuskarri ezarpenak, Matrix
Format_Settings_Matrix_Custom;Egilea
Format_Settings_Matrix_Default;Berezkoa
Format_Settings_Mode;Modua
Format_Settings_ModeExtension;Modu hedapena
Format_Settings_PacketBitStream;Heuskarri ezarpenak, Pakete bitjarioa
Format_Settings_PictureStructure;
Format_Settings_PS;Heuskarri ezarpenak, PS
Format_Settings_Pulldown;Heuskarri ezarpenak, Pulldown
Format_Settings_QPel;Heuskarri ezarpenak, QPel
Format_Settings_RefFrames;Heuskarri ezarpenak, RefFrames
Format_Settings_SBR;Heuskarri ezarpenak, SBR
Format_Settings_Sign;Heuskarri ezarpenak, Sign
Format_Settings_SliceCount;
Format_Settings_Wrapping;
Format_Tier;
Format_Url;Heuskarriaren weblotura
Format_Version;Heuskarri bertsioa
FormatDefinition;
FpaManufacturer;
FpaPass;
FpaVersion;
FrameCount;Frame zenbatekoa
FrameCount_Source;
FrameRate;Frame neurria
FrameRate_Den;
FrameRate_Maximum;Gehienezko frame neurria
FrameRate_Minimum;Gutxienezko frame neurria
FrameRate_Mode;Frame neurri modua
FrameRate_Mode_CFR;Aldagaitza
FrameRate_Mode_VFR;Aldakorra
FrameRate_Nominal;Frame neurria izendatua
FrameRate_Num;
FrameRate_Original;Jatorrizko frame neurria
FrameRate_Real;
FullParsing;
General;Orokorra
GeneralCompliance;
Genre;Mota
Genre_000;Bluesa
Genre_001;Rock Klasikoa
Genre_002;Countrya
Genre_003;Dancea
Genre_004;Diskoa
Genre_005;Funka
Genre_006;Grungea
Genre_007;Hip-Hopa
Genre_008;Jazza
Genre_009;Metala
Genre_010;New Agea
Genre_011;Oldiesa
Genre_012;Beste
Genre_013;Popa
Genre_014;R&B-a
Genre_015;Rapa
Genre_016;Reggaea
Genre_017;Rocka
Genre_018;Teknoa
Genre_019;Industriala
Genre_020;Alternatiboa
Genre_021;Ska
Genre_022;Death Metala
Genre_023;Pranksa
Genre_024;Soundtracka
Genre_025;Euro-Teknoa
Genre_026;Ambienta
Genre_027;Trip-Hopa
Genre_028;Ahotsa
Genre_029;Jazza+Funka
Genre_030;Fusiona
Genre_031;Tranzea
Genre_032;Klasikoa
Genre_033;Instrumentala
Genre_034;Acida
Genre_035;Housea
Genre_036;Gamea
Genre_037;Sound Klipa
Genre_038;Gospela
Genre_039;Noisea
Genre_040;AlternRocka
Genre_041;Bassa
Genre_042;Soula
Genre_043;Punka
Genre_044;Spacea
Genre_045;Meditatiboa
Genre_046;Pop Instrumentala
Genre_047;Rock Instrumentala
Genre_048;Etnikoa
Genre_049;Gotikoa
Genre_050;Darkwavea
Genre_051;Tekno-Industriala
Genre_052;Elektronikoa
Genre_053;Pop-Folka
Genre_054;Eurodancea
Genre_055;Dreama
Genre_056;Southern Rocka
Genre_057;Komedia
Genre_058;Culta
Genre_059;Gangsta
Genre_060;Top 40
Genre_061;Kristau Rapa
Genre_062;Pop/Funka
Genre_063;Junglea
Genre_064;Indira Amerikarra
Genre_065;Kabareta
Genre_066;New Wavea
Genre_067;Psikodelikoa
Genre_068;Ravea
Genre_069;Showtunesa
Genre_070;Trailerra
Genre_071;Lo-Fia
Genre_072;Tribala
Genre_073;Acid Punka
Genre_074;Acid Jazza
Genre_075;Polka
Genre_076;Retroa
Genre_077;Musikala
Genre_078;Rock & Rolla
Genre_079;Hard Rocka
Genre_080;Folka
Genre_081;Folk-Rocka
Genre_082;Folk Nazionala
Genre_083;Swinga
Genre_084;Fast Fusiona
Genre_085;Beboba
Genre_086;Latina
Genre_087;Revivala
Genre_088;Zeltiarra
Genre_089;Bluegrassa
Genre_090;Avantgardea
Genre_091;Rock Gotikoa
Genre_092;Rock Progresiboa
Genre_093;Rock Psikodelikoa
Genre_094;Rock Sinfonikoa
Genre_095;Slow Rocka
Genre_096;Big Banda
Genre_097;Abesbatza
Genre_098;Entzun Erraza
Genre_099;Akustikoa
Genre_100;Humorea
Genre_101;Hizketa
Genre_102;Abestia
Genre_103;Antzez-abestia
Genre_104;Ganbara Musika
Genre_105;Sonata
Genre_106;Sinfonia
Genre_107;Booty Bassa
Genre_108;Primusa
Genre_109;Porn Groovea
Genre_110;Satirea
Genre_111;Slow Jama
Genre_112;Cluba
Genre_113;Tangoa
Genre_114;Samba
Genre_115;Folklorea
Genre_116;Balada
Genre_117;Power Balada
Genre_118;Soul Ritmikoa
Genre_119;Freestylea
Genre_120;Dueta
Genre_121;Punk Rocka
Genre_122;Drum Soloa
Genre_123;A capella
Genre_124;Euro-Housea
Genre_125;Dance Halla
Genre_126;Goa
Genre_127;Drum & Bassa
Genre_128;Club-Housea
Genre_129;Hardcorea
Genre_130;Beldurrezkoa
Genre_131;Indiea
Genre_132;Britpopa
Genre_133;Negerpunka
Genre_134;Polsk Punka
Genre_135;Beata
Genre_136;Kristau Gangsta Rapa
Genre_137;Heavy Metala
Genre_138;Black Metala
Genre_139;Crossoverra
Genre_140;Kristau Garaikidea
Genre_141;Kristau Rocka
Genre_142;Merengea
Genre_143;Salsa
Genre_144;Trash Metala
Genre_145;Anima
Genre_146;JPopa
Genre_147;Synthpopa
Genre_148;Abstraktoa
Genre_149;Art Rocka
Genre_150;Baroque
Genre_151;Bhangra
Genre_152;Big Beata
Genre_153;Breakbeata
Genre_154;Chillouta
Genre_155;Downtempoa
Genre_156;Duba
Genre_157;EBM
Genre_158;Eklektikoa
Genre_159;Elektroa
Genre_160;Elektroclasha
Genre_161;Emoa
Genre_162;Esperimentala
Genre_163;Garagea
Genre_164;Globala
Genre_165;IDM-a
Genre_166;Illbienta
Genre_167;Industri-Gotikoa
Genre_168;Jam Banda
Genre_169;Krautrocka
Genre_170;Leftfielda
Genre_171;Loungea
Genre_172;Math Rocka
Genre_173;Erromantiko Berria
Genre_174;Nu-Breakza
Genre_175;Post-Punka
Genre_176;Post-Rocka
Genre_177;Psytrance
Genre_178;Shoegaze
Genre_179;Space Rocka
Genre_180;Trop Rocka
Genre_181;Munduko Musika
Genre_182;Neoklasikoa
Genre_183;Audio-liburua
Genre_184;Audio Zinema
Genre_185;Neue Deutsche Welle
Genre_186;Podcasta
Genre_187;Indie Rocka
Genre_188;G-Funka
Genre_189;Dubstep
Genre_190;Garage Rocka
Genre_191;Psybienta
Go to WebSite;Joan webgunera
Gop_OpenClosed;
Gop_OpenClosed_Closed;
Gop_OpenClosed_FirstFrame;
Gop_OpenClosed_Open;
Graph;
Group;
Grouping;
GroupPreset;
h; h
HDR_Format;
Header file;Sortu idazburu agiria
Height;Garaiera
Height_CleanAperture;
Height_Original;Jatorrizko garaiera
Help;Laguntza
Hint;Hint
HomeTheaterAvr;
How many audio streams?;Zenbat audio jario?
How many chapters streams?;Zenbat atal jario?
How many text streams?;Zenbat idazki jario?
How many video streams?;Zenbat bideo jario?
HTML;HTML
ID;ID-a
IdentClockStart;
IFrameInterval;
Image;Irudia
Image stream(s);Irudi jarioak
Image_Codec_List;Kodek Irudia
ImageCount;Irudi jario zenbatekoa
ImmersiveStereo;
Info;Argibideak
Instruments;Tresnak
IntegratedLoudness;
IntegratedLoudness_Level;
IntegratedLoudness_Speech;
InteractivityEnabled;
Interlaced_BFF;Beheko Eremua Lehenik
Interlaced_Interlaced;Elkarlotuta
Interlaced_PPF;Aurrerakorra
Interlaced_Progressive;Aurrerakorra
Interlaced_TFF;Goiko Eremua Lehenik
Interlacement;Elkarlotura
Interleave_Duration;Tartekatuta, iraupena
Interleave_Preload;Tartekatuta, aurregertaketa iraupena
Interleave_VideoFrames;Tartekatuta, iraupena
Interleaved;Tartekatuta
InternetMediaType;Internet multimedia mota
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
IsStreamable;
Keywords;Laterteklak
Known codecs;Ezagutu kodekak
Known formats;Ezagutu heuskarriak
Known parameters;Ezagutu parametroak
Label;Etiketa
Language;Hizkuntza
Language_aa;Afarera
Language_ab;Abkhazianera
Language_ae;Avestanera
Language_af;Afrikaanera
Language_ak;Akanera
Language_am;Amharicera
Language_an;Aragoiera
Language_ar;Arabiera
Language_as;Assamesera
Language_av;Avarikera
Language_ay;Aymarera
Language_az;Azerbaianera
Language_ba;Bashkirera
Language_be;Belaerrusiera
Language_bg;Bulgariera
Language_bh;Bihariera
Language_bi;Bislamera
Language_bm;Bambarera
Language_bn;Bengaliera
Language_bo;Tibetera
Language_br;Bretainiera
Language_bs;Bosniera
Language_ca;Kataluniera
Language_ce;Txetxeniera
Language_ch;Chamorroera
Language_cmn;
Language_co;Korsikera
Language_cr;Creeera
Language_cs;Txekiera
Language_cu;Eslavera
Language_cv;Chuvashera
Language_cy;Galesera
Language_da;Daniera
Language_de;Alemaniera
Language_dv;Divehiera
Language_dz;Dzongkhaera
Language_ee;Eweera
Language_el;Greziera
Language_en;Ingelera
Language_en-gb;Ingelera (Erresuma Batua)
Language_en-us;Ingelera (Estatu Batuak)
Language_eo;Esperantoera
Language_es;Espainiera
Language_es-419;
Language_et;Estoniera
Language_eu;Euskara
Language_fa;Persiera
Language_ff;Fulahera
Language_fi;Finlandiera
Language_fil;
Language_fj;Fijianera
Language_fo;Faroera
Language_fr;Frantziera
Language_fy;Frisiera
Language_ga;Irlandera
Language_gd;Gaeliera
Language_gl;Galiziera
Language_gn;Guaraniera
Language_gu;Gujaratiera
Language_gv;Manxera
Language_ha;Hausaera
Language_he;Hebraiera
Language_hi;Hindera
Language_ho;Hiri Motuera
Language_hr;Kroaziera
Language_ht;Haitiera
Language_hu;Hungariera
Language_hy;Armeniera
Language_hy-az;
Language_hz;Hereroera
Language_ia;Hizkuntza Elkarte Laguntzailea
Language_id;Indonesiera
Language_ie;Interlinguera
Language_ig;Igboera
Language_ii;Sichuan Yiera
Language_ik;Inupiaqera
Language_Info;Hizkuntza argibideak
Language_io;Idoera
Language_is;Islandiera
Language_it;Italiera
Language_iu;Inuktitutera
Language_ja;Japoniera
Language_jv;Javanera
Language_ka;Georgiera
Language_kg;Kongoera
Language_ki;Kikuyuera
Language_kj;Kuanyamaera
Language_kk;Kazakhera
Language_kl;Kalaallisutera
Language_km;Khmerera
Language_kn;Kannadera
Language_ko;Koreaera
Language_kr;Kanuriera
Language_ks;Kashmiriera
Language_ku;Kurdistanera
Language_kv;Komiera
Language_kw;Korniera
Language_ky;Kirghizera
Language_la;Latinera
Language_lb;Luxenburgera
Language_lg;Gandaera
Language_li;Linburgera
Language_ln;Lingalaera
Language_lo;Laoera
Language_lt;Lituaniera
Language_lu;Luba-Katangera
Language_lv;Letoniea
Language_mg;Malagasiera
Language_mh;Marshallera
Language_mi;Maoriera
Language_mk;Mazedoniera
Language_ml;Malayalamera
Language_mn;Mongoliera
Language_mn-cn;
Language_mo;Moldabiera
Language_More;Hizkuntza, argibide gehiago
Language_mr;Marathiera
Language_ms;Malaiera
Language_ms-bn;
Language_mt;Maltaera
Language_mul;Hizkuntza anitz
Language_my;Burmesera
Language_na;Nauruera
Language_nb;Norbegiera Bokmal
Language_nd;Ndebelera
Language_ne;Nepaliera
Language_ng;Ndongaera
Language_nl;Herbeherera
Language_nl-be;
Language_nn;Norbegiera Nynorsk
Language_no;Norbegiera
Language_nr;Ndebelera
Language_nv;Navajoera
Language_ny;Nyanjera
Language_oc;Okzitaniera
Language_oj;Ojibwaera
Language_om;Oromoera
Language_or;Oriyaera
Language_os;Osetiera
Language_pa;Panjabiera
Language_pi;Paliera
Language_pl;Poloniera
Language_ps;Pushtoera
Language_pt;Portugalera
Language_pt-br;Portugalera (Brazil)
Language_qu;Quechuera
Language_rm;Raeto-Erromantzea
Language_rn;Rundiera
Language_ro;Errumaniera
Language_ru;Errusiera
Language_rw;Kinyarwandera
Language_sa;Sanskritera
Language_sc;Sardiniera
Language_sd;Sindhiera
Language_se;Ipar Samiera
Language_sg;Sangoera
Language_si;Sinhalaera
Language_sk;Eslobakiera
Language_sl;Eslobeniera
Language_sm;Samoera
Language_smi;
Language_sn;Shonaera
Language_so;Somaliera
Language_sq;Albaniera
Language_sr;Serbiera
Language_ss;Swatiera
Language_st;Sothoera
Language_su;Sundanera
Language_sv;Suediera
Language_sw;Swahiliera
Language_ta;Tamilera
Language_te;Teluguera
Language_tg;Tajikera
Language_th;Thailandiera
Language_ti;Tigrinyera
Language_tk;Turkmeniera
Language_tl;Tagalogera
Language_tn;Tswanaera
Language_to;Tongaera
Language_tr;Turkiera
Language_ts;Tsongaera
Language_tt;Tatarrera
Language_tw;Twiera
Language_ty;Tahitiera
Language_ug;Uighurrera
Language_uk;Ukrainiera
Language_ur;Urduera
Language_uz;Uzbekera
Language_ve;Vendaera
Language_vi;Vietnamiera
Language_vo;Volapukera
Language_wa;Waloniera
Language_wo;Wolofera
Language_xh;Xhosaera
Language_yi;Yiddiera
Language_yo;Yorubera
Language_yue;
Language_za;Zhuangera
Language_zh;Txinera
Language_zh-cmn;
Language_zh-cn;Txinera (Txina)
Language_zh-CN;
Language_zh-Hans;
Language_zh-Hant;
Language_zh-tw;Txinera (Taiwan)
Language_zh-TW;
Language_zh-yue;
Language_zu;Zuluera
Languages;
LawRating;Lege maila
LCCN;LCCN
LfeAttenuationKnown;
LfeMixGain;
Library;Nahasketa liburutegia
Lifetime_Subscribe_Button;
Lightness;Argitasuna
Lines_Count;
Lines_MaxCountPerEvent;
LineUpStart;
LinkedTo_Bed_Pos;
LinkedTo_ChannelFormat_Pos;
LinkedTo_ComplementaryObject_Pos;
LinkedTo_Content_Pos;
LinkedTo_Group_Pos;
LinkedTo_Object_Pos;
LinkedTo_PackFormat_Pos;
LinkedTo_SignalGroup_Pos;
LinkedTo_StreamFormat_Pos;
LinkedTo_Substream_Pos;
LinkedTo_TrackFormat_Pos;
LinkedTo_TrackUID_Pos;
List;Zerrenda
LongTermLoudness;
LoRoCenterMixGain;
LoRoSurroundMixGain;
Loudness_Anchor;
Loudness_Anchor_Album;
Loudness_Count;
Loudness_Count_Album;
Loudness_MaximumMomentary;
Loudness_MaximumMomentary_Album;
Loudness_MaximumOfRange;
Loudness_MaximumOfRange_Album;
Loudness_MaximumShortTerm;
Loudness_MaximumShortTerm_Album;
Loudness_ProductionMixingLevel;
Loudness_ProductionMixingLevel_Album;
Loudness_Program;
Loudness_Program_Album;
Loudness_Range;
Loudness_Range_Album;
Loudness_RoomType;
Loudness_RoomType_Album;
LtRtCenterMixGain;
LtRtSurroundMixGain;
Lyricist;Abestidazlea
Lyrics;Abestidatziak
Mastered_Date;Masterizatze eguna
MasteredBy;Masterizatzailea
MasteringDisplay_ColorPrimaries;
